PREFERRED_NAME,LONG_NAME,PREFERRED_DEFINITION,EVS_SOURCE,ORIGIN,DEFINITION_SOURCE,
C143218,Blood lactate dehydrogenase increased,A finding based on laboratory test results that indicate increased levels of lactate dehydrogenase in the blood specimen.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143219,Electrocardiogram T wave abnormal,A disorder characterized by Electrocardiogram T wave amplitude changes.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143220,Thyroid stimulating hormone increased,A disorder characterized by an increase in thyroid stimulating hormone.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143221,Hyperlipidemia,A disorder characterized by laboratory test results that indicate an elevation in the concentration of lipids in blood.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143222,Hyperphosphatemia,A disorder characterized by laboratory test results that indicate an elevation in the concentration of phosphate in a blood.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143223,Chest wall necrosis,A disorder characterized by a necrotic process occurring in the soft tissues of the chest wall including breast.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143224,Muscle cramp,A disorder characterized by marked cramping sensation originating from a muscle or group of muscles.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143225,Osteonecrosis,"A disorder characterized by necrotic changes in the bone tissue due to interruption of blood supply. Most often affecting the epiphysis of the long bones, the necrotic changes result in the collapse and the destruction of the bone structure.",NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143226,Rhabdomyolysis,A disorder characterized by the breakdown of muscle tissue resulting in the release of muscle fiber contents into the bloodstream.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143227,Rotator cuff injury,A disorder characterized by an injury of the rotator cuff.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143228,Skin papilloma,A disorder characterized by the presence of one or more warts.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143229,Tumor hemorrhage,A disorder characterized by bleeding in a tumor.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143230,Anosmia,A disorder characterized by a change in the sense of smell.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143231,Guillain-Barre syndrome,A disorder characterized by the body's immune system attacking the peripheral nervous system causing ascending paralysis.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143232,Myasthenia gravis,A disorder characterized by weakness and rapid fatigue of any of the skeletal muscles.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143233,Spinal cord compression,A disorder characterized by pressure on the spinal cord.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143234,Tendon reflex decreased,A disorder characterized by less than normal deep tendon reflexes.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143235,Trochlear nerve disorder,A disorder characterized by dysfunction of the trochlear nerve (fourth cranial nerve).,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143236,Pregnancy loss,Death in utero.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143237,Dysuria,A disorder characterized by painful urination.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143238,Glucosuria,A disorder characterized by laboratory test results that indicate glucose in the urine.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143239,Nephrotic syndrome,"A disorder characterized by symptoms that include severe edema, proteinuria, and hypoalbuminemia; it is indicative of renal dysfunction.",NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143240,Amenorrhea,A disorder characterized by the abnormal absence of menses for at least three consecutive menstrual cycles,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143241,Oropharyngeal pain,A disorder characterized by a sensation of marked discomfort in the oropharynx.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143242,Rhinorrhea,A disorder characterized by excessive mucous secretions draining from the nose.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143243,Eczema,"A disorder characterized by skin which becomes itchy, red, inflamed, crusty, thick, scaly, and/or forms blisters.",NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143244,Hair color changes,A disorder characterized by change in hair color or loss of normal pigmentation.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143245,Hair texture abnormal,A disorder characterized by a change in the way the hair feels.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143246,Hyperkeratosis,A disorder characterized by a thickening of the outer layer of the skin.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143247,Nail changes,A disorder characterized by a change in the nails.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143248,Subcutaneous emphysema,A disorder characterized by air in the subcutaneous tissue.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143249,Arterial thromboembolism,A disorder characterized by occlusion of an arterial vessel by a blood clot that develops in an artery.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143253,Abdominal distension,A disorder characterized by swelling of the abdomen.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,
C143254,Abdominal infection,A disorder characterized by an infectious process involving the abdominal cavity.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143255,Abdominal pain,A disorder characterized by a sensation of marked discomfort in the abdominal region.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143256,Abdominal soft tissue necrosis,A disorder characterized by a necrotic process occurring in the soft tissues of the abdominal wall.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143257,Abducens nerve disorder,A disorder characterized by dysfunction of the abducens nerve (sixth cranial nerve).,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143258,Accessory nerve disorder,A disorder characterized by dysfunction of the accessory nerve (eleventh cranial nerve).,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143259,Acidosis,A disorder characterized by abnormally high acidity (high hydrogen-ion concentration) of the blood and other body tissues.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143260,Acoustic nerve disorder NOS,A disorder characterized by dysfunction of the acoustic nerve (eighth cranial nerve).,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143261,Activated partial thromboplastin time prolonged,"A finding based on laboratory test results in which the partial thromboplastin time is found to be greater than the control value. As a possible indicator of coagulopathy, a prolonged partial thromboplastin time (PTT) may occur in a variety of diseases and disorders, both primary and related to treatment.",NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143262,Acute kidney injury,"A disorder characterized by the acute loss of renal function (within 2 weeks) and is traditionally classified as pre-renal (low blood flow into kidney), renal (kidney damage) and post-renal causes (ureteral or bladder outflow obstruction).",NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143266,Akathisia,A disorder characterized by an uncomfortable feeling of inner restlessness and inability to stay still; this is a side effect of some psychotropic drugs.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143267,Alanine aminotransferase increased,A finding based on laboratory test results that indicate an increase in the level of alanine aminotransferase (ALT or SGPT) in the blood specimen.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143268,Alcohol intolerance,"A disorder characterized by an increase in sensitivity to the adverse effects of alcohol, which can include nasal congestion, skin flushes, heart dysrhythmias, nausea, vomiting, indigestion and headaches.",NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143269,Alkaline phosphatase increased,A finding based on laboratory test results that indicate an increase in the level of alkaline phosphatase in a blood specimen.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143270,Alkalosis,A disorder characterized by abnormally high alkalinity (low hydrogen-ion concentration) of the blood and other body tissues.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143271,Allergic reaction,A disorder characterized by an adverse local or general response from exposure to an allergen.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143272,Allergic rhinitis,"A disorder characterized by an inflammation of the nasal mucous membranes caused by an IgE-mediated response to external allergens. The inflammation may also involve the mucous membranes of the sinuses, eyes, middle ear, and pharynx. Symptoms include sneezing, nasal congestion, rhinorrhea and itching.",NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143274,Amnesia,A disorder characterized by systematic and extensive loss of memory.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143275,Anal fistula,A disorder characterized by an abnormal communication between the opening in the anal canal to the perianal skin.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143276,Anal hemorrhage,A disorder characterized by bleeding from the anal region.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143277,Anal mucositis,A disorder characterized by ulceration or inflammation of the mucous membrane of the anus.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143278,Anal necrosis,A disorder characterized by a necrotic process occurring in the anal region.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143279,Anal pain,A disorder characterized by a sensation of marked discomfort in the anal region.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143280,Anal stenosis,A disorder characterized by a narrowing of the lumen of the anal canal.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143281,Anal ulcer,"A disorder characterized by a circumscribed, erosive lesion on the mucosal surface of the anal canal.",NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143282,Anaphylaxis,"A disorder characterized by an acute inflammatory reaction resulting from the release of histamine and histamine-like substances from mast cells, causing a hypersensitivity immune response. Clinically, it presents with breathing difficulty, dizziness, hypotension, cyanosis and loss of consciousness and may lead to death.",NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143283,Anemia,"A disorder characterized by a reduction in the amount of hemoglobin in 100 ml of blood. Signs and symptoms of anemia may include pallor of the skin and mucous membranes, shortness of breath, palpitations of the heart, soft systolic murmurs, lethargy, and fatigability.",NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143284,Ankle fracture,"A finding of damage to the ankle joint characterized by a break in the continuity of the ankle bone. Symptoms include marked discomfort, swelling and difficulty moving the affected leg and foot.",NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143285,Anorectal infection,A disorder characterized by an infectious process involving the anal area and the rectum.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143287,Anorgasmia,A disorder characterized by an inability to achieve orgasm.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143289,Aortic injury,A finding of damage to the aorta.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143290,Aortic valve disease,A disorder characterized by a defect in aortic valve function or structure.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143291,Aphonia,A disorder characterized by the inability to speak. It may result from injuries to the vocal cords or may be functional (psychogenic).,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143293,Appendicitis perforated,A disorder characterized by acute inflammation to the vermiform appendix caused by a pathogenic agent with gangrenous changes resulting in the rupture of the appendiceal wall. The appendiceal wall rupture causes the release of inflammatory and bacterial contents from the appendiceal lumen into the abdominal cavity.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143294,Appendicitis,A disorder characterized by acute inflammation to the vermiform appendix caused by a pathogenic agent.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143295,Arachnoiditis,A disorder characterized by inflammation of the arachnoid membrane and adjacent subarachnoid space.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143296,Arterial injury,A finding of damage to an artery.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143297,Arteritis infective,A disorder characterized by an infectious process involving an artery.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143298,Arthralgia,A disorder characterized by a sensation of marked discomfort in a joint.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143299,Arthritis,A disorder characterized by inflammation involving a joint.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143300,Ascites,A disorder characterized by accumulation of serous or hemorrhagic fluid in the peritoneal cavity.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143301,Aspartate aminotransferase increased,A finding based on laboratory test results that indicate an increase in the level of aspartate aminotransferase (AST or SGOT) in a blood specimen.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143308,Atrioventricular block complete,A disorder characterized by a dysrhythmia with complete failure of atrial electrical impulse conduction through the AV node to the ventricles.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143309,Atrioventricular block first degree,A disorder characterized by a dysrhythmia with a delay in the time required for the conduction of an electrical impulse through the atrioventricular (AV) node beyond 0.2 seconds; prolongation of the PR interval greater than 200 milliseconds.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143310,Autoimmune disorder,"A disorder characterized by loss of function or tissue destruction of an organ or multiple organs, arising from humoral or cellular immune responses of the individual to his own tissue constituents.",NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143311,Avascular necrosis,"A disorder characterized by necrotic changes in the bone tissue due to interruption of blood supply. Most often affecting the epiphysis of the long bones, the necrotic changes result in the collapse and the destruction of the bone structure.",NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143312,Azoospermia,A disorder characterized by laboratory test results that indicate complete absence of spermatozoa in the semen.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143314,Bile duct stenosis,A disorder characterized by a narrowing of the lumen of the bile duct.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143315,Biliary anastomotic leak,A finding of leakage of bile due to breakdown of a biliary anastomosis (surgical connection of two separate anatomic structures).,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143316,Biliary fistula,A disorder characterized by an abnormal communication between the bile ducts and another organ or anatomic site.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143317,Biliary tract infection,A disorder characterized by an infectious process involving the biliary tract.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143318,Bladder anastomotic leak,A finding of leakage of urine due to breakdown of a bladder anastomosis (surgical connection of two separate anatomic structures).,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143319,Bladder infection,A disorder characterized by an infectious process involving the bladder.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143322,Bloating,A disorder characterized by subject-reported feeling of uncomfortable fullness of the abdomen.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143323,"Blood and lymphatic system disorders - Other, specify",,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143324,Blood antidiuretic hormone abnormal,A finding based on laboratory test results that indicate abnormal levels of antidiuretic hormone in the blood specimen.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143325,Blood bilirubin increased,A finding based on laboratory test results that indicate an abnormally high level of bilirubin in the blood. Excess bilirubin is associated with jaundice.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143326,Blood corticotrophin decreased,A finding based on laboratory test results that indicate an decrease in levels of corticotrophin in a blood specimen.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143327,Blood gonadotrophin abnormal,A finding based on laboratory test results that indicate abnormal levels of gonadotrophin hormone in a blood specimen.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143328,Blood prolactin abnormal,A finding based on laboratory test results that indicate abnormal levels of prolactin hormone in a blood specimen.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143330,Body odor,A disorder characterized by an abnormal body smell resulting from the growth of bacteria on the body.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143331,Bone infection,A disorder characterized by an infectious process involving the bones.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143332,Bone marrow hypocellular,A disorder characterized by the inability of the bone marrow to produce hematopoietic elements.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143335,Breast atrophy,A disorder characterized by underdevelopment of the breast.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143336,Breast infection,A disorder characterized by an infectious process involving the breast.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143338,Bronchial fistula,A disorder characterized by an abnormal communication between the bronchus and another organ or anatomic site.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143339,Bronchial infection,A disorder characterized by an infectious process involving the bronchi.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143340,Bronchial obstruction,"A disorder characterized by blockage of a bronchus passage, most often by bronchial secretions and exudates.",NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143341,Bronchial stricture,A disorder characterized by a narrowing of the bronchial tube.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143342,Bronchopleural fistula,A disorder characterized by an abnormal communication between a bronchus and the pleural cavity.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143343,Bronchopulmonary hemorrhage,A disorder characterized by bleeding from the bronchial wall and/or lung parenchyma.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143344,Bronchospasm,A disorder characterized by a sudden contraction of the smooth muscles of the bronchial wall.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143345,Bruising,A finding of injury of the soft tissues or bone characterized by leakage of blood into surrounding tissues.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143346,Bullous dermatitis,A disorder characterized by inflammation of the skin characterized by the presence of bullae which are filled with fluid.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143349,Capillary leak syndrome,"A disorder characterized by leakage of intravascular fluids into the extravascular space. This syndrome is observed in patients who demonstrate a state of generalized leaky capillaries following shock syndromes, low-flow states, ischemia-reperfusion injuries, toxemias, medications, or poisoning. It can lead to generalized edema and multiple organ failure.",NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143350,Carbon monoxide diffusing capacity decreased,A finding based on lung function test results that indicate a decrease in the lung capacity to absorb carbon monoxide.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143351,Cardiac arrest,A disorder characterized by cessation of the pumping function of the heart.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143352,"Cardiac disorders - Other, specify",,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143353,Cardiac troponin I increased,A finding based on laboratory test results that indicate increased levels of cardiac troponin I in a biological specimen.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143354,Cardiac troponin T increased,A finding based on laboratory test results that indicate increased levels of cardiac troponin T in a biological specimen.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143356,Catheter related infection,A disorder characterized by an infectious process that arises secondary to catheter use.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143357,CD4 lymphocytes decreased,A finding based on laboratory test results that indicate an decrease in levels of CD4 lymphocytes in a blood specimen.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143358,Cecal hemorrhage,A disorder characterized by bleeding from the cecum.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143359,Cecal infection,A disorder characterized by an infectious process involving the cecum.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143360,Central nervous system necrosis,A disorder characterized by a necrotic process occurring in the brain and/or spinal cord.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143361,Cerebrospinal fluid leakage,A disorder characterized by loss of cerebrospinal fluid into the surrounding tissues.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143362,Cervicitis infection,A disorder characterized by an infectious process involving the uterine cervix.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143364,Chest pain - cardiac,"A disorder characterized by substernal discomfort due to insufficient myocardial oxygenation e.g., angina pectoris.",NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143366,Chills,A disorder characterized by a sensation of cold that often marks a physiologic response to sweating after a fever.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143368,Cholesterol high,A finding based on laboratory test results that indicate higher than normal levels of cholesterol in a blood specimen.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143369,Chronic kidney disease,A disorder characterized by gradual and usually permanent loss of kidney function resulting in renal failure.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143373,Colonic fistula,A disorder characterized by an abnormal communication between the large intestine and another organ or anatomic site.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143374,Colonic hemorrhage,A disorder characterized by bleeding from the colon.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143375,Colonic obstruction,A disorder characterized by blockage of the normal flow of the intestinal contents in the colon.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143376,Colonic perforation,A disorder characterized by a rupture in the colonic wall.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143377,Colonic stenosis,A disorder characterized by a narrowing of the lumen of the colon.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143378,Colonic ulcer,"A disorder characterized by a circumscribed, erosive lesion on the mucosal surface of the colon.",NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143379,Concentration impairment,A disorder characterized by a deterioration in the ability to concentrate.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143380,Conduction disorder,A disorder characterized by pathological irregularities in the cardiac conduction system.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143382,"Congenital, familial and genetic disorders - Other, specify",,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143383,Conjunctivitis infective,A disorder characterized by an infectious process involving the conjunctiva. Clinical manifestations include pink or red color in the eyes.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143384,Conjunctivitis,"A disorder characterized by inflammation, swelling and redness to the conjunctiva of the eye.",NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143386,Corneal infection,A disorder characterized by an infectious process involving the cornea.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143387,Corneal ulcer,A disorder characterized by an area of epithelial tissue loss on the surface of the cornea. It is associated with inflammatory cells in the cornea and anterior chamber.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143389,CPK increased,A finding based on laboratory test results that indicate an increase in levels of creatine phosphokinase in a blood specimen.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143390,Cranial nerve infection,A disorder characterized by an infectious process involving a cranial nerve.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143391,Creatinine increased,A finding based on laboratory test results that indicate increased levels of creatinine in a biological specimen.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143392,Cushingoid,"A disorder characterized by signs and symptoms that resemble Cushing's disease or syndrome: buffalo hump obesity, striations, adiposity, hypertension, diabetes, and osteoporosis, usually due to exogenous corticosteroids.",NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143393,Cystitis noninfective,A disorder characterized by inflammation of the bladder which is not caused by an infection of the urinary tract.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143394,Cytokine release syndrome,"A disorder characterized by fever, tachypnea, headache, tachycardia, hypotension, rash, and/or hypoxia caused by the release of cytokines.",NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
