Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
recovery_selfassessment_patient_life_goals,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,"Staff help me to develop and plan for life goals beyond managing symptoms or staying stable (e.g., employment, education, physical fitness, connecting with family and friends, hobbies).","1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661503,,,,,,,,,,
recovery_selfassessment_patient_job_search,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Staff help me to find jobs.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661503,,,,,,,,,,
recovery_selfassessment_patient_other_activities,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,"Staff help me to get involved in non-mental health/addiction related activities, such as church groups, adult education, sports, or hobbies.","1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661503,,,,,,,,,,
recovery_selfassessment_patient_support_network,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,"Staff help me to include people who are important to me in my recovery/treatment planning (such as family, friends, clergy, or an employer).","1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661503,,,,,,,,,,
recovery_selfassessment_patient_role_models,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Staff introduce me to people in recovery who can serve as role models or mentors.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661503,,,,,,,,,,
recovery_selfassessment_patient_network,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,"Staff offer to help me connect with self-help, peer support, or consumer advocacy groups and programs.","1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661503,,,,,,,,,,
recovery_selfassessment_patient_volunteering,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,"Staff help me to find ways to give back to my community (i.e., volunteering, community services, neighborhood watch/cleanup).","1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661503,,,,,,,,,,
recovery_selfassessment_patient_new_development,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,"I am encouraged to help staff with the development of new groups, programs, or services.","1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661503,,,,,,,,,,
recovery_selfassessment_patient_evaluation,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,I am encouraged to be involved in the evaluation of this program’s services and service providers.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661503,,,,,,,,,,
recovery_selfassessment_patient_attend_meetings,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,I am encouraged to attend agency advisory boards and/or management meetings if I want.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661503,,,,,,,,,,
recovery_selfassessment_patient_complete_program,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Staff talk with me about what it would take to complete or exit this program.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661503,,,,,,,,,,
recovery_selfassessment_patient_personal_goals,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Staff help me keep track of the progress I am making towards my personal goals.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661503,,,,,,,,,,
recovery_selfassessment_patient_assist,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Staff work hard to help me fulfill my personal goals.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661503,,,,,,,,,,
recovery_selfassessment_patient_help_train,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,I am/can be involved with staff trainings and education programs this agency.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661503,,,,,,,,,,
recovery_selfassessment_patient_staff_training,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,"Staff listen, and respond, to my cultural experiences, interests, and concerns.","1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661503,,,,,,,,,,
recovery_selfassessment_patient_specialinterest_groups,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Staff are knowledgeable about special interest groups and activities in the community.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661503,,,,,,,,,,
recovery_selfassessment_patient_diversity,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,"Agency staff are diverse in terms of culture, ethnicity, lifestyle, and interests.","1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661503,,,,,,,,,,
