Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
anxiety_disorders_symptoms_children_self_report_nervous_strangers,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,I feel nervous with people I don’t know well.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_children_self_report_stomachaches_school,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,I get stomachaches at school.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_children_self_report_frightened_crazy,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,"When I get frightened, I feel like I am going crazy.","0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_children_self_report_worry_sleeping_alone,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,I worry about sleeping alone.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_children_self_report_worry_compared_others,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,I worry about being as good as other kids.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_children_self_report_frightened_reality,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,"When I get frightened, I feel like things are not real.","0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_children_self_report_nightmares_parents,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,I have nightmares about something bad happening to my parents.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_children_self_report_worry_school,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,I worry about going to school.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_children_self_report_frightened_heartbeat,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,"When I get frightened, my heart beats fast.","0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_children_self_report_shaky,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,I get shaky.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_children_self_report_nightmares,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,I have nightmares about something bad happening to me.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_children_self_report_worry,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,I worry about things working out for me.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_children_self_report_frightened_sweat,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,"When I get frightened, I sweat a lot.","0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_children_self_report_worrisome,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,I am a worrier.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_children_self_report_frightened_reason,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,I get really frightened for no reason at all.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_children_self_report_afraid_alone_home,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,I am afraid to be alone in the house,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_children_self_report_talk_strangers,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,It is hard for me to talk with people I don’t know well.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_children_self_report_frightened_choking,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,"When I get frightened, I feel like I am choking.","0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_children_self_report_worry_too_much,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,People tell me that I worry too much,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_children_self_report_separation_family,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,I don’t like to be away from my family.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_children_self_report_afraid_anxiety_panic_attacks,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,I am afraid of having anxiety (or panic) attacks.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_children_self_report_worry_parents,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,I worry that something bad might happen to my parents.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_children_self_report_shy_strangers,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,I feel shy with people I don’t know well.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_children_self_report_worry_future,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,I worry about what is going to happen in the future.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_children_self_report_frightened_vomit,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,"When I get frightened, I feel like throwing up.","0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_children_self_report_worry_performance,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,I worry about how well I do things,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_children_self_report_scared_school,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,I am scared to go to school.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_children_self_report_worry_past,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,I worry about things that have already happened.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_children_self_report_frightened_dizzy,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,"When I get frightened, I feel dizzy.","0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_children_self_report_nervous_performance_others,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,"I feel nervous when I am with other children or adults and I have to do something while they watch me (for example: read aloud, speak, play a game, play a sport).","0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_children_self_report_nervous_social_event_strangers,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,"I feel nervous when I am going to parties, dances, or any place where there will be people that I don’t know well.","0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_children_self_report_shy,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,I am shy.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
