Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
alcohol_lifetime_use_disorder_failed_stop_drinking_goal,phenx_alcohol_lifetime_use_disorder,,radio,Did you want or try to stop or cut down on your drinking?,"1,Yes|0,No",PX030502,,,,,[alcohol_lifetime_use_disorder_failed_stop_drinking_prior_last_year]='1',,,,,
alcohol_lifetime_use_disorder_drink_more_than_intended_ever,phenx_alcohol_lifetime_use_disorder,,radio,In your entire life did you EVER have a period when you ended up drinking more than you meant to?,"1,Yes|2,No",PX030502,,,,,,,,,,
alcohol_lifetime_use_disorder_drink_more_than_intended_past_year,phenx_alcohol_lifetime_use_disorder,,radio,"If yes, did this happen in the last 12 months?","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_drink_more_than_intended_ever]='1',,,,,
alcohol_lifetime_use_disorder_drink_more_than_intended_prior_last_year,phenx_alcohol_lifetime_use_disorder,,radio,"Did this happen before 12 months ago, that is before last (Month one year ago?)","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_drink_more_than_intended_past_year]='1',,,,,
alcohol_lifetime_use_disorder_drink_more_than_intended_longer,phenx_alcohol_lifetime_use_disorder,,radio,Did you drink more or longer than you meant to?,"1,Yes|0,No",PX030502,,,,,[alcohol_lifetime_use_disorder_drink_more_than_intended_prior_last_year]='1',,,,,
alcohol_lifetime_use_disorder_drink_longer_than_intended_ever,phenx_alcohol_lifetime_use_disorder,,radio,In your entire life did you EVER have a period when you kept on drinking for longer than you had intended to?,"1,Yes|2,No",PX030502,,,,,,,,,,
alcohol_lifetime_use_disorder_drink_longer_than_intended_past_year,phenx_alcohol_lifetime_use_disorder,,radio,"If yes, did this happen in the last 12 months?","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_drink_longer_than_intended_ever]='1',,,,,
alcohol_lifetime_use_disorder_drink_longer_than_intended_prior_last_year,phenx_alcohol_lifetime_use_disorder,,radio,"Did this happen before 12 months ago, that is before last (Month one year ago?)","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_drink_longer_than_intended_past_year]='1',,,,,
alcohol_lifetime_use_disorder_drink_longer_than_intended,phenx_alcohol_lifetime_use_disorder,,radio,Did you drink more or longer than you meant to?,"1,Yes|0,No",PX030502,,,,,[alcohol_lifetime_use_disorder_drink_longer_than_intended_prior_last_year]='1',,,,,
alcohol_lifetime_use_disorder_trouble_sleeping_ever,phenx_alcohol_lifetime_use_disorder,,radio,Did you EVER have trouble falling asleep or staying asleep (when the effects of alcohol were wearing off)?,"1,Yes|2,No",PX030502,,,,,,,,,,
alcohol_lifetime_use_disorder_trouble_sleeping_past_year,phenx_alcohol_lifetime_use_disorder,,radio,"If yes, did this happen in the last 12 months?","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_trouble_sleeping_ever]='1',,,,,
alcohol_lifetime_use_disorder_trouble_sleeping_prior_last_year,phenx_alcohol_lifetime_use_disorder,,radio,"Did this happen before 12 months ago, that is before last (Month one year ago?)","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_trouble_sleeping_past_year]='1',,,,,
alcohol_lifetime_use_disorder_trouble_sleeping,phenx_alcohol_lifetime_use_disorder,,radio,,"1,Yes|0,No",PX030502,,,,,[alcohol_lifetime_use_disorder_trouble_sleeping_prior_last_year]='1',,,,,
alcohol_lifetime_use_disorder_shaking_trembling_ever,phenx_alcohol_lifetime_use_disorder,,radio,Did you EVER find yourself shaking or your hands trembling?,"1,Yes|2,No",PX030502,,,,,,,,,,
alcohol_lifetime_use_disorder_shaking_trembling_past_year,phenx_alcohol_lifetime_use_disorder,,radio,"If yes, did this happen in the last 12 months?","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_shaking_trembling_ever]='1',,,,,
alcohol_lifetime_use_disorder_shaking_trembling_prior_last_year,phenx_alcohol_lifetime_use_disorder,,radio,"Did this happen before 12 months ago, that is before last (Month one year ago?)","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_shaking_trembling_past_year]='1',,,,,
alcohol_lifetime_use_disorder_shaking_trembling,phenx_alcohol_lifetime_use_disorder,,radio,,"1,Yes|0,No",PX030502,,,,,[alcohol_lifetime_use_disorder_shaking_trembling_prior_last_year]='1',,,,,
alcohol_lifetime_use_disorder_anxious_nervous_ever,phenx_alcohol_lifetime_use_disorder,,radio,Did you EVER feel anxious or nervous?,"1,Yes|2,No",PX030502,,,,,,,,,,
alcohol_lifetime_use_disorder_anxious_nervous_past_year,phenx_alcohol_lifetime_use_disorder,,radio,"If yes, did this happen in the last 12 months?","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_anxious_nervous_ever]='1',,,,,
alcohol_lifetime_use_disorder_anxious_nervous_prior_last_year,phenx_alcohol_lifetime_use_disorder,,radio,"Did this happen before 12 months ago, that is before last (Month one year ago?)","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_anxious_nervous_past_year]='1',,,,,
alcohol_lifetime_use_disorder_anxious_nervous,phenx_alcohol_lifetime_use_disorder,,radio,,"1,Yes|0,No",PX030502,,,,,[alcohol_lifetime_use_disorder_anxious_nervous_prior_last_year]='1',,,,,
alcohol_lifetime_use_disorder_sick_vomit_ever,phenx_alcohol_lifetime_use_disorder,,radio,Did you EVER feel sick to your stomach or vomit (when the effects of alcohol were wearing off)?,"1,Yes|2,No",PX030502,,,,,,,,,,
alcohol_lifetime_use_disorder_sick_vomit_past_year,phenx_alcohol_lifetime_use_disorder,,radio,"If yes, did this happen in the last 12 months?","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_sick_vomit_ever]='1',,,,,
alcohol_lifetime_use_disorder_sick_vomit_prior_last_year,phenx_alcohol_lifetime_use_disorder,,radio,"Did this happen before 12 months ago, that is before last (Month one year ago?)","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_sick_vomit_past_year]='1',,,,,
alcohol_lifetime_use_disorder_sick_vomit,phenx_alcohol_lifetime_use_disorder,,radio,,"1,Yes|0,No",PX030502,,,,,[alcohol_lifetime_use_disorder_sick_vomit_prior_last_year]='1',,,,,
alcohol_lifetime_use_disorder_restless_ever,phenx_alcohol_lifetime_use_disorder,,radio,Did you EVER feel more restless than is usual for you?,"1,Yes|2,No",PX030502,,,,,,,,,,
alcohol_lifetime_use_disorder_restless_past_year,phenx_alcohol_lifetime_use_disorder,,radio,"If yes, did this happen in the last 12 months?","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_restless_ever]='1',,,,,
alcohol_lifetime_use_disorder_restless_prior_last_year,phenx_alcohol_lifetime_use_disorder,,radio,"Did this happen before 12 months ago, that is before last (Month one year ago?)","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_restless_past_year]='1',,,,,
alcohol_lifetime_use_disorder_restless,phenx_alcohol_lifetime_use_disorder,,radio,,"1,Yes|0,No",PX030502,,,,,[alcohol_lifetime_use_disorder_restless_prior_last_year]='1',,,,,
alcohol_lifetime_use_disorder_sweating_heart_beat_ever,phenx_alcohol_lifetime_use_disorder,,radio,Did you EVER find yourself sweating or your heart beating fast?,"1,Yes|2,No",PX030502,,,,,,,,,,
alcohol_lifetime_use_disorder_sweating_heart_beat_past_year,phenx_alcohol_lifetime_use_disorder,,radio,"If yes, did this happen in the last 12 months?","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_sweating_heart_beat_ever]='1',,,,,
alcohol_lifetime_use_disorder_sweating_heart_beat_prior_last_year,phenx_alcohol_lifetime_use_disorder,,radio,"Did this happen before 12 months ago, that is before last (Month one year ago?)","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_sweating_heart_beat_past_year]='1',,,,,
alcohol_lifetime_use_disorder_sweating_heart_beat,phenx_alcohol_lifetime_use_disorder,,radio,,"1,Yes|0,No",PX030502,,,,,[alcohol_lifetime_use_disorder_sweating_heart_beat_prior_last_year]='1',,,,,
alcohol_lifetime_use_disorder_hallucinations_ever,phenx_alcohol_lifetime_use_disorder,,radio,"Did you EVER see, feel, or hear things that weren?really there (when the effects of alcohol were wearing off)?","1,Yes|2,No",PX030502,,,,,,,,,,
alcohol_lifetime_use_disorder_hallucinations_past_year,phenx_alcohol_lifetime_use_disorder,,radio,"If yes, did this happen in the last 12 months?","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_hallucinations_ever]='1',,,,,
alcohol_lifetime_use_disorder_hallucinations_prior_last_year,phenx_alcohol_lifetime_use_disorder,,radio,"Did this happen before 12 months ago, that is before last (Month one year ago?)","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_hallucinations_past_year]='1',,,,,
alcohol_lifetime_use_disorder_hallucinations,phenx_alcohol_lifetime_use_disorder,,radio,,"1,Yes|0,No",PX030502,,,,,[alcohol_lifetime_use_disorder_hallucinations_prior_last_year]='1',,,,,
alcohol_lifetime_use_disorder_seizures_ever,phenx_alcohol_lifetime_use_disorder,,radio,Did you EVER have fits or seizures?,"1,Yes|2,No",PX030502,,,,,,,,,,
alcohol_lifetime_use_disorder_seizures_past_year,phenx_alcohol_lifetime_use_disorder,,radio,"If yes, did this happen in the last 12 months?","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_seizures_ever]='1',,,,,
alcohol_lifetime_use_disorder_seizures_prior_last_year,phenx_alcohol_lifetime_use_disorder,,radio,"Did this happen before 12 months ago, that is before last (Month one year ago?)","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_seizures_past_year]='1',,,,,
alcohol_lifetime_use_disorder_seizures,phenx_alcohol_lifetime_use_disorder,,radio,,"1,Yes|0,No",PX030502,,,,,[alcohol_lifetime_use_disorder_seizures_prior_last_year]='1',,,,,
alcohol_lifetime_use_disorder_check_item,phenx_alcohol_lifetime_use_disorder,,radio,"Are at least 2 items marked ""Yes"" for part B of Q9-16 (Q1.9.2-Q1.16.2)?","1,Yes|2,No",PX030502,,,,,,,,,,
alcohol_lifetime_use_disorder_after_effects_stop_drinking_past_year,phenx_alcohol_lifetime_use_disorder,,radio,You just mentioned that you had SOME bad aftereffects when stopping or cutting down on drinking in the last 12 months. Did at least 2 of these experiences happen around the same time DURING the last 12 months?,"1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_check_item]='1',,,,,
alcohol_lifetime_use_disorder_check_item2,phenx_alcohol_lifetime_use_disorder,,radio,"Are at least 2 items marked Yes"" for part C of Q9-16 (Q1.9.3-Q1.16.3)?""","1,Yes|2,No",PX030502,,,,,,,,,,
alcohol_lifetime_use_disorder_after_effects_stop_drinking_prior_last_year,phenx_alcohol_lifetime_use_disorder,,radio,You (also/just) mentioned that you had SOME bad aftereffects when stopping or cutting down on drinking before 12 months ago. Did at least 2 of these experiences happen around the same time BEFORE 12 months ago?,"1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_check_item2]='1',,,,,
alcohol_lifetime_use_disorder_take_drink_drug_recover_after_effects_ever,phenx_alcohol_lifetime_use_disorder,,radio,"In your entire life did you EVER take a drink or use any drug or medicine, other than aspirin, Advil or Tylenol, to GET OVER any of the bad aftereffects of drinking?","1,Yes|2,No",PX030502,,,,,,,,,,
alcohol_lifetime_use_disorder_take_drink_drug_recover_after_effects_past_year,phenx_alcohol_lifetime_use_disorder,,radio,"If yes, did this happen in the last 12 months?","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_take_drink_drug_recover_after_effects_ever]='1',,,,,
alcohol_lifetime_use_disorder_take_drink_drug_recover_after_effects_prior_last_year,phenx_alcohol_lifetime_use_disorder,,radio,"Did this happen before 12 months ago, that is before last (Month one year ago)?","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_take_drink_drug_recover_after_effects_past_year]='1',,,,,
alcohol_lifetime_use_disorder_take_drink_drug_recover_after_effects,phenx_alcohol_lifetime_use_disorder,,radio,"Did you take a drink, medicine or drug to get over or avoid the bad aftereffects of drinking?","1,Yes|0,No",PX030502,,,,,[alcohol_lifetime_use_disorder_take_drink_drug_recover_after_effects_prior_last_year]='1',,,,,
alcohol_lifetime_use_disorder_take_drink_drug_prevent_after_effects_ever,phenx_alcohol_lifetime_use_disorder,,radio,"In your entire life did you EVER take a drink or use any drug or medicine, other than aspirin, Advil or Tylenol, to KEEP FROM having any of these bad aftereffects of drinking?","1,Yes|2,No",PX030502,,,,,,,,,,
alcohol_lifetime_use_disorder_take_drink_drug_prevent_after_effects_past_year,phenx_alcohol_lifetime_use_disorder,,radio,"If yes, did this happen in the last 12 months?","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_take_drink_drug_prevent_after_effects_ever]='1',,,,,
alcohol_lifetime_use_disorder_take_drink_drug_prevent_after_effects_prior_last_year,phenx_alcohol_lifetime_use_disorder,,radio,"Did this happen before 12 months ago, that is before last (Month one year ago)?","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_take_drink_drug_prevent_after_effects_past_year]='1',,,,,
alcohol_lifetime_use_disorder_take_drink_drug_prevent_after_effects,phenx_alcohol_lifetime_use_disorder,,radio,"Did you take a drink, medicine or drug to get over or avoid the bad aftereffects of drinking?","1,Yes|0,No",PX030502,,,,,[alcohol_lifetime_use_disorder_take_drink_drug_prevent_after_effects_prior_last_year]='1',,,,,
alcohol_lifetime_use_disorder_time_spent_drinking_ever,phenx_alcohol_lifetime_use_disorder,,radio,In your entire life did you EVER have a period when you spent a lot of time drinking?,"1,Yes|2,No",PX030502,,,,,,,,,,
alcohol_lifetime_use_disorder_time_spent_drinking_past_year,phenx_alcohol_lifetime_use_disorder,,radio,"If yes, did this happen in the last 12 months?","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_time_spent_drinking_ever]='1',,,,,
alcohol_lifetime_use_disorder_time_spent_drinking_prior_last_year,phenx_alcohol_lifetime_use_disorder,,radio,"Did this happen before 12 months ago, that is before last (Month one year ago)?","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_time_spent_drinking_past_year]='1',,,,,
alcohol_lifetime_use_disorder_time_spent_drinking,phenx_alcohol_lifetime_use_disorder,,radio,Did you spend a lot of time drinking or getting over being sick from drinking?,"1,Yes|0,No",PX030502,,,,,[alcohol_lifetime_use_disorder_time_spent_drinking_prior_last_year]='1',,,,,
alcohol_lifetime_use_disorder_sick_after_effects_ever,phenx_alcohol_lifetime_use_disorder,,radio,In your entire life did you EVER have a period when you spent a lot of time being sick or getting over the bad aftereffects of drinking?,"1,Yes|2,No",PX030502,,,,,,,,,,
alcohol_lifetime_use_disorder_sick_after_effects_past_year,phenx_alcohol_lifetime_use_disorder,,radio,"If yes, did this happen in the last 12 months?","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_sick_after_effects_ever]='1',,,,,
alcohol_lifetime_use_disorder_sick_after_effects_prior_last_year,phenx_alcohol_lifetime_use_disorder,,radio,"Did this happen before 12 months ago, that is before last (Month one year ago)?","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_sick_after_effects_past_year]='1',,,,,
alcohol_lifetime_use_disorder_sick_after_effects,phenx_alcohol_lifetime_use_disorder,,radio,Did you spend a lot of time drinking or getting over being sick from drinking?,"1,Yes|0,No",PX030502,,,,,[alcohol_lifetime_use_disorder_sick_after_effects_prior_last_year]='1',,,,,
alcohol_lifetime_use_disorder_drinking_social_impact_ever,phenx_alcohol_lifetime_use_disorder,,radio,"In your entire life did you EVER give up or cut down on activities that were important to you in order to drink??e work, school, or associating with friends or relatives?","1,Yes|2,No",PX030502,,,,,,,,,,
alcohol_lifetime_use_disorder_drinking_social_impact_past_year,phenx_alcohol_lifetime_use_disorder,,radio,"If yes, did this happen in the last 12 months?","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_drinking_social_impact_ever]='1',,,,,
alcohol_lifetime_use_disorder_drinking_social_impact_prior_last_year,phenx_alcohol_lifetime_use_disorder,,radio,"Did this happen before 12 months ago, that is before last (Month one year ago)?","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_drinking_social_impact_past_year]='1',,,,,
alcohol_lifetime_use_disorder_drinking_social_impact,phenx_alcohol_lifetime_use_disorder,,radio,Did you give up or cut down on activities that were important to you in order to drink?,"1,Yes|0,No",PX030502,,,,,[alcohol_lifetime_use_disorder_drinking_social_impact_prior_last_year]='1',,,,,
alcohol_lifetime_use_disorder_drinking_hobbies_impact_ever,phenx_alcohol_lifetime_use_disorder,,radio,In your entire life did you EVER give up or cut down on activities that you were interested in or that gave you pleasure in order to drink?,"1,Yes|2,No",PX030502,,,,,,,,,,
alcohol_lifetime_use_disorder_drinking_hobbies_impact_past_year,phenx_alcohol_lifetime_use_disorder,,radio,"If yes, did this happen in the last 12 months?","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_drinking_hobbies_impact_ever]='1',,,,,
alcohol_lifetime_use_disorder_drinking_hobbies_impact_prior_last_year,phenx_alcohol_lifetime_use_disorder,,radio,"Did this happen before 12 months ago, that is before last (Month one year ago)?","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_drinking_hobbies_impact_past_year]='1',,,,,
alcohol_lifetime_use_disorder_drinking_hobbies_impact,phenx_alcohol_lifetime_use_disorder,,radio,Did you give up or cut down on activities that were important to you in order to drink?,"1,Yes|0,No",PX030502,,,,,[alcohol_lifetime_use_disorder_drinking_hobbies_impact_prior_last_year]='1',,,,,
alcohol_lifetime_use_disorder_continue_drinking_depressed_ever,phenx_alcohol_lifetime_use_disorder,,radio,"In your entire life did you EVER continue to drink even though you knew it was making you feel depressed, uninterested in things, or suspicious or distrustful of other people?","1,Yes|2,No",PX030502,,,,,,,,,,
alcohol_lifetime_use_disorder_continue_drinking_depressed_past_year,phenx_alcohol_lifetime_use_disorder,,radio,"If yes, did this happen in the last 12 months?","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_continue_drinking_depressed_ever]='1',,,,,
alcohol_lifetime_use_disorder_continue_drinking_depressed_prior_last_year,phenx_alcohol_lifetime_use_disorder,,radio,"Did this happen before 12 months ago, that is before last (Month one year ago)?","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_continue_drinking_depressed_past_year]='1',,,,,
alcohol_lifetime_use_disorder_continue_drinking_depressed,phenx_alcohol_lifetime_use_disorder,,radio,Did you drink even though it affected your mood or health?,"1,Yes|0,No",PX030502,,,,,[alcohol_lifetime_use_disorder_continue_drinking_depressed_prior_last_year]='1',,,,,
alcohol_lifetime_use_disorder_continue_drinking_health_ever,phenx_alcohol_lifetime_use_disorder,,radio,In your entire life did you EVER continue to drink even though you knew it was causing you a health problem or making a health problem worse?,"1,Yes|2,No",PX030502,,,,,,,,,,
alcohol_lifetime_use_disorder_continue_drinking_health_past_year,phenx_alcohol_lifetime_use_disorder,,radio,"If yes, did this happen in the last 12 months?","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_continue_drinking_health_ever]='1',,,,,
alcohol_lifetime_use_disorder_continue_drinking_health_prior_last_year,phenx_alcohol_lifetime_use_disorder,,radio,"Did this happen before 12 months ago, that is before last (Month one year ago)?","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_continue_drinking_health_past_year]='1',,,,,
alcohol_lifetime_use_disorder_continue_drinking_health,phenx_alcohol_lifetime_use_disorder,,radio,Did you drink even though it affected your mood or health?,"1,Yes|0,No",PX030502,,,,,[alcohol_lifetime_use_disorder_continue_drinking_health_prior_last_year]='1',,,,,
alcohol_lifetime_use_disorder_continue_drinking_blackout_ever,phenx_alcohol_lifetime_use_disorder,,radio,"In your entire life did you EVER continue to drink even though you had experienced a prior blackout, that is, awakened the next day not being able to remember some of the things you did while drinking or after drinking?","1,Yes|2,No",PX030502,,,,,,,,,,
alcohol_lifetime_use_disorder_continue_drinking_blackout_past_year,phenx_alcohol_lifetime_use_disorder,,radio,"If yes, did this happen in the last 12 months?","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_continue_drinking_blackout_ever]='1',,,,,
alcohol_lifetime_use_disorder_continue_drinking_blackout_prior_last_year,phenx_alcohol_lifetime_use_disorder,,radio,"Did this happen before 12 months ago, that is before last (Month one year ago)?","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_continue_drinking_blackout_past_year]='1',,,,,
alcohol_lifetime_use_disorder_continue_drinking_blackout,phenx_alcohol_lifetime_use_disorder,,radio,Did you drink even though it affected your mood or health?,"1,Yes|0,No",PX030502,,,,,[alcohol_lifetime_use_disorder_continue_drinking_blackout_prior_last_year]='1',,,,,
alcohol_lifetime_use_disorder_strong_desire_drink_ever,phenx_alcohol_lifetime_use_disorder,,radio,In your entire life did you EVER feel a very strong urge or desire to drink?,"1,Yes|2,No",PX030502,,,,,,,,,,
alcohol_lifetime_use_disorder_strong_desire_drink_past_year,phenx_alcohol_lifetime_use_disorder,,radio,"If yes, did this happen in the last 12 months?","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_strong_desire_drink_ever]='1',,,,,
