Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
recovery_selfassessment_family_risks,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Staff encourage my loved one to take risks and try new things.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661502,,,,,,,,,,
recovery_selfassessment_family_cultural_acceptance,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,This program offers specific services that fit the unique culture and life experiences of my loved one.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661502,,,,,,,,,,
recovery_selfassessment_family_spiritual_needs,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,My loved one is given opportunities to discuss his or her spiritual needs and interests when he or she wishes.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661502,,,,,,,,,,
recovery_selfassessment_family_sexual_needs,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,My loved one is given opportunities to discuss his or her sexual needs and interests when he or she wishes.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661502,,,,,,,,,,
recovery_selfassessment_family_life_goals,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,"Staff help my loved one to develop and plan for life goals beyond managing symptoms or staying stable (e.g., employment, education, physical fitness, connecting with family and friends, hobbies).","1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661502,,,,,,,,,,
recovery_selfassessment_family_job_search,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Staff assist my loved one with getting jobs.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661502,,,,,,,,,,
recovery_selfassessment_family_other_activities,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,"Staff help my loved one to get involved in non-mental health related activities, such as church groups, adult education, sports, or hobbies.","1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661502,,,,,,,,,,
recovery_selfassessment_family_support_network,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,"Staff help my loved one to include people who are important to him/her in his/her recovery/treatment planning (such as family, friends, clergy, or an employer).","1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661502,,,,,,,,,,
recovery_selfassessment_family_role_models,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Staff introduce my loved one to others in recovery who can serve as role models or mentors.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661502,,,,,,,,,,
recovery_selfassessment_family_network,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,"Staff connect my loved one with self-help, peer support, or consumer advocacy groups and programs.","1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661502,,,,,,,,,,
recovery_selfassessment_family_volunteering,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,"Staff help my loved one to find ways to give back to the community (i.e., volunteering, community services, neighborhood watch/cleanup).","1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661502,,,,,,,,,,
recovery_selfassessment_family_new_development,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,"My loved one is encouraged to help staff with the development of new groups, programs, or services.","1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661502,,,,,,,,,,
recovery_selfassessment_family_evaluation,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Program participants are encouraged to be involved in the evaluation of this program’s services and service providers.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661502,,,,,,,,,,
recovery_selfassessment_family_attend_meetings,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,My loved one is encouraged to attend agency advisory boards and management meetings,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661502,,,,,,,,,,
recovery_selfassessment_family_complete_program,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Staff talk with my loved one about what it takes to complete or exit the program.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661502,,,,,,,,,,
recovery_selfassessment_family_personal_goals,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Staff help my loved one keep track of the progress he/she makes towards his/her personal goals.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661502,,,,,,,,,,
recovery_selfassessment_family_assist,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Staff work hard to help my loved one fulfill his/her personal goals.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661502,,,,,,,,,,
recovery_selfassessment_family_help_train,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,My loved one is or can be involved in facilitating staff trainings and education programs at this agency.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661502,,,,,,,,,,
recovery_selfassessment_family_staff_training,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,"Staff listen, and respond, to my loved one's cultural experiences, interests, and concerns.","1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661502,,,,,,,,,,
recovery_selfassessment_family_specialinterest_groups,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Staff are knowledgeable about special interest groups and activities in the community.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661502,,,,,,,,,,
recovery_selfassessment_family_diversity,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,"Agency staff are diverse in terms of culture, ethnicity, lifestyle, and interests.","1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661502,,,,,,,,,,
recovery_selfassessment_family_welcoming,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,[For family/significant other only] Staff make efforts to welcome me and make me feel comfortable in this program.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661502,,,,,,,,,,
recovery_selfassessment_family_expectations,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,[For family/significant other only] Staff encourage me to have hope and high expectations for my loved one’s recovery.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661502,,,,,,,,,,
recovery_selfassessment_family_opinion_family,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,[For family/significant other only] Staff listen to me and respect my opinion about my loved one’s treatment and care.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661502,,,,,,,,,,
recovery_selfassessment_family_include_family,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,[For family/significant other only] Staff include me in my loved one’s recovery/treatment planning.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661502,,,,,,,,,,
recovery_selfassessment_family_development_family,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,"[For family/significant other only] I am encouraged to help staff with the development of new groups, programs, or services.","1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661502,,,,,,,,,,
recovery_selfassessment_family_evaluation_family,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,[For family/significant other only] I am encouraged to be involved in the evaluation of this program’s services and service providers.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661502,,,,,,,,,,
recovery_selfassessment_family_meetings,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,"[For family/significant other only] I am encouraged to attend agency advisory boards and management meetings, if I want.","1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661502,,,,,,,,,,
recovery_selfassessment_family_trainings,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,[For family/significant other only] I am/can be involved in facilitating staff trainings and education programs at this agency.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661502,,,,,,,,,,
