Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
Knee_Injury_Osteoarthritis_Function_Standing,PhenX_-_Knee_Injury_and_Osteoarthritis,,radio,For each of the following activities please indicate the degree of difficulty you have experienced in the last week due to your knee. Standing,"UNDEFINED_1,None|UNDEFINED_2,Mild|UNDEFINED_3,Moderate|UNDEFINED_4,Severe",PX250401,,,,,,,,,,
Knee_Injury_Osteoarthritis_Function_Bending_Floor,PhenX_-_Knee_Injury_and_Osteoarthritis,,radio,For each of the following activities please indicate the degree of difficulty you have experienced in the last week due to your knee. Bending to floor/pick up an object,"UNDEFINED_1,None|UNDEFINED_2,Mild|UNDEFINED_3,Moderate|UNDEFINED_4,Severe",PX250401,,,,,,,,,,
Knee_Injury_Osteoarthritis_Function_Walking_Flat_Surface,PhenX_-_Knee_Injury_and_Osteoarthritis,,radio,For each of the following activities please indicate the degree of difficulty you have experienced in the last week due to your knee. Walking on flat surface,"UNDEFINED_1,None|UNDEFINED_2,Mild|UNDEFINED_3,Moderate|UNDEFINED_4,Severe",PX250401,,,,,,,,,,
Knee_Injury_Osteoarthritis_Function_Enter_Exit_Car,PhenX_-_Knee_Injury_and_Osteoarthritis,,radio,For each of the following activities please indicate the degree of difficulty you have experienced in the last week due to your knee. Getting in/out of car,"UNDEFINED_1,None|UNDEFINED_2,Mild|UNDEFINED_3,Moderate|UNDEFINED_4,Severe",PX250401,,,,,,,,,,
Knee_Injury_Osteoarthritis_Function_Shopping,PhenX_-_Knee_Injury_and_Osteoarthritis,,radio,For each of the following activities please indicate the degree of difficulty you have experienced in the last week due to your knee. Going shopping,"UNDEFINED_1,None|UNDEFINED_2,Mild|UNDEFINED_3,Moderate|UNDEFINED_4,Severe",PX250401,,,,,,,,,,
Knee_Injury_Osteoarthritis_Function_Socks_Stockings,PhenX_-_Knee_Injury_and_Osteoarthritis,,radio,For each of the following activities please indicate the degree of difficulty you have experienced in the last week due to your knee. Putting on socks/stockings,"UNDEFINED_1,None|UNDEFINED_2,Mild|UNDEFINED_3,Moderate|UNDEFINED_4,Severe",PX250401,,,,,,,,,,
Knee_Injury_Osteoarthritis_Function_Rising_Bed,PhenX_-_Knee_Injury_and_Osteoarthritis,,radio,For each of the following activities please indicate the degree of difficulty you have experienced in the last week due to your knee. Rising from bed,"UNDEFINED_1,None|UNDEFINED_2,Mild|UNDEFINED_3,Moderate|UNDEFINED_4,Severe",PX250401,,,,,,,,,,
Knee_Injury_Osteoarthritis_Function_Remove_Stocks_Stockings,PhenX_-_Knee_Injury_and_Osteoarthritis,,radio,For each of the following activities please indicate the degree of difficulty you have experienced in the last week due to your knee. Taking off socks/stockings,"UNDEFINED_1,None|UNDEFINED_2,Mild|UNDEFINED_3,Moderate|UNDEFINED_4,Severe",PX250401,,,,,,,,,,
Knee_Injury_Osteoarthritis_Function_Lying,PhenX_-_Knee_Injury_and_Osteoarthritis,,radio,"For each of the following activities please indicate the degree of difficulty you have experienced in the last week due to your knee. Lying in bed (turning over, maintaining knee position)","UNDEFINED_1,None|UNDEFINED_2,Mild|UNDEFINED_3,Moderate|UNDEFINED_4,Severe",PX250401,,,,,,,,,,
Knee_Injury_Osteoarthritis_Function_Bathtub,PhenX_-_Knee_Injury_and_Osteoarthritis,,radio,For each of the following activities please indicate the degree of difficulty you have experienced in the last week due to your knee. Getting in/out of bath,"UNDEFINED_1,None|UNDEFINED_2,Mild|UNDEFINED_3,Moderate|UNDEFINED_4,Severe",PX250401,,,,,,,,,,
Knee_Injury_Osteoarthritis_Function_Sitting,PhenX_-_Knee_Injury_and_Osteoarthritis,,radio,For each of the following activities please indicate the degree of difficulty you have experienced in the last week due to your knee. Sitting,"UNDEFINED_1,None|UNDEFINED_2,Mild|UNDEFINED_3,Moderate|UNDEFINED_4,Severe",PX250401,,,,,,,,,,
Knee_Injury_Osteoarthritis_Function_Toilet,PhenX_-_Knee_Injury_and_Osteoarthritis,,radio,For each of the following activities please indicate the degree of difficulty you have experienced in the last week due to your knee. Getting on/off toilet,"UNDEFINED_1,None|UNDEFINED_2,Mild|UNDEFINED_3,Moderate|UNDEFINED_4,Severe",PX250401,,,,,,,,,,
Knee_Injury_Osteoarthritis_Function_Heavy_Domestic_Duties,PhenX_-_Knee_Injury_and_Osteoarthritis,,radio,"For each of the following activities please indicate the degree of difficulty you have experienced in the last week due to your knee. Heavy domestic duties (moving heavy boxes, scrubbing floors, etc.)","UNDEFINED_1,None|UNDEFINED_2,Mild|UNDEFINED_3,Moderate|UNDEFINED_4,Severe",PX250401,,,,,,,,,,
Knee_Injury_Osteoarthritis_Function_Light_Domestic_Duties,PhenX_-_Knee_Injury_and_Osteoarthritis,,radio,"For each of the following activities please indicate the degree of difficulty you have experienced in the last week due to your knee. Light domestic duties (cooking, dusting, etc.)","UNDEFINED_1,None|UNDEFINED_2,Mild|UNDEFINED_3,Moderate|UNDEFINED_4,Severe",PX250401,,,,,,,,,,
Knee_Injury_Osteoarthritis_Function_Squatting,PhenX_-_Knee_Injury_and_Osteoarthritis,,radio,The questions should be answered thinking of what degree of difficulty you have experienced during the last week due to your knee. Squatting,"UNDEFINED_1,None|UNDEFINED_2,Mild|UNDEFINED_3,Moderate|UNDEFINED_4,Severe",PX250401,,,,,,,,,,
Knee_Injury_Osteoarthritis_Function_Running,PhenX_-_Knee_Injury_and_Osteoarthritis,,radio,The questions should be answered thinking of what degree of difficulty you have experienced during the last week due to your knee. Running,"UNDEFINED_1,None|UNDEFINED_2,Mild|UNDEFINED_3,Moderate|UNDEFINED_4,Severe",PX250401,,,,,,,,,,
Knee_Injury_Osteoarthritis_Function_Jumping,PhenX_-_Knee_Injury_and_Osteoarthritis,,radio,The questions should be answered thinking of what degree of difficulty you have experienced during the last week due to your knee. Jumping,"UNDEFINED_1,None|UNDEFINED_2,Mild|UNDEFINED_3,Moderate|UNDEFINED_4,Severe",PX250401,,,,,,,,,,
Knee_Injury_Osteoarthritis_Function_Twisting_Pivoting,PhenX_-_Knee_Injury_and_Osteoarthritis,,radio,The questions should be answered thinking of what degree of difficulty you have experienced during the last week due to your knee. Twisting/pivoting on your injured knee,"UNDEFINED_1,None|UNDEFINED_2,Mild|UNDEFINED_3,Moderate|UNDEFINED_4,Severe",PX250401,,,,,,,,,,
Knee_Injury_Osteoarthritis_Function_Kneeling,PhenX_-_Knee_Injury_and_Osteoarthritis,,radio,The questions should be answered thinking of what degree of difficulty you have experienced during the last week due to your knee. Kneeling,"UNDEFINED_1,None|UNDEFINED_2,Mild|UNDEFINED_3,Moderate|UNDEFINED_4,Severe",PX250401,,,,,,,,,,
Knee_Injury_Osteoarthritis_Quality_Life_Awareness,PhenX_-_Knee_Injury_and_Osteoarthritis,,radio,How often are you aware of your knee problem?,"UNDEFINED_1,Never|UNDEFINED_2,Monthly|UNDEFINED_3,Weekly|UNDEFINED_4,Daily",PX250401,,,,,,,,,,
Knee_Injury_Osteoarthritis_Quality_Life_Change,PhenX_-_Knee_Injury_and_Osteoarthritis,,radio,Have you modified your life style to avoid potentially damaging activities to your knee?,"UNDEFINED_1,Not at all|UNDEFINED_2,Mildly|UNDEFINED_3,Moderately|UNDEFINED_4,Severely",PX250401,,,,,,,,,,
Knee_Injury_Osteoarthritis_Quality_Life_Confidence,PhenX_-_Knee_Injury_and_Osteoarthritis,,radio,How much are you troubled with lack of confidence in your knee?,"UNDEFINED_1,Not at all|UNDEFINED_2,Mildly|UNDEFINED_3,Moderately|UNDEFINED_4,Severely",PX250401,,,,,,,,,,
Knee_Injury_Osteoarthritis_Quality_Life_Difficulty,PhenX_-_Knee_Injury_and_Osteoarthritis,,radio,"In general, how much difficulty do you have with your knee?","UNDEFINED_1,None|UNDEFINED_2,Mild|UNDEFINED_3,Moderate|UNDEFINED_4,Severe",PX250401,,,,,,,,,,
