Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
lack_prosocial_emotions_children_self_report_careless,phenx_lack_of_prosocial_emotions_children_preschool_parent,,radio,The student does not care about doing things well.,"0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true",PX121602,,,,,,,,,,
lack_prosocial_emotions_children_self_report_cold_uncaring_others,phenx_lack_of_prosocial_emotions_children_preschool_parent,,radio,The student seems very cold and uncaring.,"0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true",PX121602,,,,,,,,,,
lack_prosocial_emotions_children_self_report_admit_wrong,phenx_lack_of_prosocial_emotions_children_preschool_parent,,radio,The student easily admits to being wrong.,"0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true",PX121602,,,,,,,,,,
lack_prosocial_emotions_children_self_report_easy_others_feelings,phenx_lack_of_prosocial_emotions_children_preschool_parent,,radio,It is easy to tell how he/she is feeling.,"0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true",PX121602,,,,,,,,,,
lack_prosocial_emotions_children_self_report_try_best,phenx_lack_of_prosocial_emotions_children_preschool_parent,,radio,The student always tries his/her best.,"0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true",PX121602,,,,,,,,,,
lack_prosocial_emotions_children_self_report_apologize,phenx_lack_of_prosocial_emotions_children_preschool_parent,,radio,"The student apologizes (""says he/she is sorry"") to persons he/she has hurt.","0, Not at all true | 1, Somewhat true | 2, Very true | 3, Definitely true",PX121602,,,,,,,,,,
lack_prosocial_emotions_children_self_report_others_feelings_important,phenx_lack_of_prosocial_emotions_children_preschool_parent,,radio,The student tries not to hurt others' feelings.,"0, Not at all true | 1, Somewhat true | 2, Very true | 3, Definitely true",PX121602,,,,,,,,,,
lack_prosocial_emotions_children_self_report_remorseful,phenx_lack_of_prosocial_emotions_children_preschool_parent,,radio,The student shows no remorse when he/she has done something wrong.,"0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true",PX121602,,,,,,,,,,
lack_prosocial_emotions_children_self_report_expressive_emotional,phenx_lack_of_prosocial_emotions_children_preschool_parent,,radio,The student is very expressive and emotional.,"0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true",PX121602,,,,,,,,,,
lack_prosocial_emotions_children_self_report_time_perform_well,phenx_lack_of_prosocial_emotions_children_preschool_parent,,radio,The student does not like to put the time into doing things well.,"0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true",PX121602,,,,,,,,,,
lack_prosocial_emotions_children_self_report_others_feelings_unimportant,phenx_lack_of_prosocial_emotions_children_preschool_parent,,radio,The feelings of others are unimportant to him/her.,"0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true",PX121602,,,,,,,,,,
lack_prosocial_emotions_children_self_report_hide_feelings,phenx_lack_of_prosocial_emotions_children_preschool_parent,,radio,The student hides his/her feelings from others,"0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true",PX121602,,,,,,,,,,
lack_prosocial_emotions_children_self_report_work_hard,phenx_lack_of_prosocial_emotions_children_preschool_parent,,radio,The student works hard on everything.,"0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true",PX121602,,,,,,,,,,
lack_prosocial_emotions_children_self_report_motivation_others_feelings,phenx_lack_of_prosocial_emotions_children_preschool_parent,,radio,The student does things to make others feel good.,"0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true",PX121602,,,,,,,,,,
