Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
recovery_selfassessment_administrator_interests,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Staff regularly ask program participants about their interests and the things they would like to do in the community.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661501,,,,,,,,,,
recovery_selfassessment_administrator_risks,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Staff encourage program participants to take risks and try new things.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661501,,,,,,,,,,
recovery_selfassessment_administrator_cultural_acceptance,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,This program offers specific services that fit each participant’s unique culture and life experiences.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661501,,,,,,,,,,
recovery_selfassessment_administrator_spiritual_needs,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Staff offer participants opportunities to discuss their spiritual needs and interests when they wish.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661501,,,,,,,,,,
recovery_selfassessment_administrator_sexual_needs,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Staff offer participants opportunities to discuss their sexual needs and interests when they wish.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661501,,,,,,,,,,
recovery_selfassessment_administrator_life_goals,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,"Staff help program participants to develop and plan for life goals beyond managing symptoms or staying stable (e.g., employment, education, physical fitness, connecting with family and friends, hobbies).","1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661501,,,,,,,,,,
recovery_selfassessment_administrator_job_search,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Staff routinely assist program participants with getting jobs.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661501,,,,,,,,,,
recovery_selfassessment_administrator_other_activities,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,"Staff actively help program participants to get involved in non-mental health/addiction related activities, such as church groups, adult education, sports, or hobbies.","1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661501,,,,,,,,,,
recovery_selfassessment_administrator_support_network,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,"Staff work hard to help program participants to include people who are important to them in their recovery/treatment planning (such as family, friends, clergy, or an employer).","1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661501,,,,,,,,,,
recovery_selfassessment_administrator_role_models,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Staff actively introduce program participants to persons in recovery who can serve as role models or mentors.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661501,,,,,,,,,,
recovery_selfassessment_administrator_network,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,"Staff actively connect program participants with self-help, peer support, or consumer advocacy groups and programs.","1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661501,,,,,,,,,,
recovery_selfassessment_administrator_volunteering,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,"Staff actively help people find ways to give back to their community (i.e., volunteering, community services, neighborhood watch/cleanup).","1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661501,,,,,,,,,,
recovery_selfassessment_administrator_new_development,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,"People in recovery are encouraged to help staff with the development of new groups, programs, or services.","1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661501,,,,,,,,,,
recovery_selfassessment_administrator_evaluation,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,"People in recovery are encouraged to be involved in the evaluation of this agency’s programs, services, and service providers.","1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661501,,,,,,,,,,
recovery_selfassessment_administrator_attend_meetings,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,People in recovery are encouraged to attend agency advisory boards and management meetings.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661501,,,,,,,,,,
recovery_selfassessment_administrator_complete_program,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Staff talk with program participants about what it takes to complete or exit the program.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661501,,,,,,,,,,
recovery_selfassessment_administrator_personal_goals,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Progress made towards an individual’s own personal goals is tracked regularly.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661501,,,,,,,,,,
recovery_selfassessment_administrator_assist,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,The primary role of agency staff is to assist a person with fulfilling his/her own goals and aspirations.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661501,,,,,,,,,,
recovery_selfassessment_administrator_help_train,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Persons in recovery are involved with facilitating staff trainings and education at this program.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661501,,,,,,,,,,
recovery_selfassessment_administrator_staff_training,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Staff at this program regularly attend trainings on cultural competency.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661501,,,,,,,,,,
recovery_selfassessment_administrator_specialinterest_groups,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Staff are knowledgeable about special interest groups and activities in the community.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661501,,,,,,,,,,
recovery_selfassessment_administrator_diversity,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,"Agency staff are diverse in terms of culture, ethnicity, lifestyle, and interests.","1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661501,,,,,,,,,,
recovery_selfassessment_administrator_education,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,"[For Administrators Only] This agency provides formal opportunities for people in recovery, family members, service providers, and administrators to learn about recovery.","1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661501,,,,,,,,,,
recovery_selfassessment_administrator_structured_education,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,[For Administrators Only] This agency provides structured educational activities to the community about mental illness and addictions.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661501,,,,,,,,,,
recovery_selfassessment_administrator_treatment_options,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,"[For Administrators Only] This agency provides a variety of treatment options for program participants (e.g., individual, group, peer support, medical, community-based, employment, skill building, employment, etc.).","1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661501,,,,,,,,,,
recovery_selfassessment_administrator_schedule,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,"[For Administrators Only] Groups, meetings, and other activities are scheduled in the evenings or on weekends so as not to conflict with other recovery-oriented activities such as employment or school.","1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661501,,,,,,,,,,
