Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
factor_nine_population_clotting_extended_sample_processing,factor_nine_population_clotting_extended,,radio,Were the sample collection and processing procedures outlined in Adcock Funk et al. (2012) followed?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX911002,,,,,,,,,,
factor_nine_population_clotting_extended_sample_processing_sodium_citrate,factor_nine_population_clotting_extended,,radio,Did unprocessed or processed sodium citrate samples remain capped and at room temperature until testing?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX911002,,,,,,,,,,
factor_nine_population_clotting_extended_sample_processing_refrigerated,factor_nine_population_clotting_extended,,radio,Were samples refrigerated or stored on ice or in an ice bath?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX911002,,,,,,,,,,
factor_nine_population_clotting_extended_sample_processing_transportation,factor_nine_population_clotting_extended,,radio,Were samples transported vertically?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX911002,,,,,,,,,,
factor_nine_population_clotting_extended_sample_processing_agitation,factor_nine_population_clotting_extended,,radio,Were samples agitated during transportation?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX911002,,,,,,,,,,
factor_nine_population_clotting_extended_sample_processing_storage_unprocessed,factor_nine_population_clotting_extended,,radio,Were samples stored as unprocessed sodium citrate whole blood samples?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX911002,,,,,,,,,,
factor_nine_population_clotting_extended_sample_processing_storage_whole_blood,factor_nine_population_clotting_extended,,radio,Were samples stored as whole blood samples centrifuged and maintained in sodium citrate tubes?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX911002,,,,,,,,,,
factor_nine_population_clotting_extended_sample_processing_storage_plasma,factor_nine_population_clotting_extended,,radio,Were samples stored as plasma processed by centrifugation and aliquoting into a second tube?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX911002,,,,,,,,,,
factor_nine_population_clotting_extended_sample_processing_platelet_poor_plasma,factor_nine_population_clotting_extended,,radio,Were samples processed to platelet poor plasma (PPP) within 1 hour of collection?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX911002,,,,,[factor_nine_population_clotting_extended_sample_processing_storage_whole_blood] = 'UNDEFINED_CODE' or [factor_nine_population_clotting_extended_sample_processing_storage_plasma] = 'UNDEFINED_CODE',,,,,
factor_nine_population_clotting_extended_sample_processing_assayed,factor_nine_population_clotting_extended,,radio,Were samples assayed within 4 hours of collection?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX911002,,,,,[factor_nine_population_clotting_extended_sample_processing_storage_whole_blood] = 'UNDEFINED_CODE' or [factor_nine_population_clotting_extended_sample_processing_storage_plasma] = 'UNDEFINED_CODE',,,,,
factor_nine_population_clotting_extended_sample_processing_centrifuge_validated,factor_nine_population_clotting_extended,,radio,"Was the centrifuge validated so that process results in less than 10,000 platelets/microliter ","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX911002,,,,,[factor_nine_population_clotting_extended_sample_processing_storage_whole_blood] = 'UNDEFINED_CODE' or [factor_nine_population_clotting_extended_sample_processing_storage_plasma] = 'UNDEFINED_CODE',,,,,
factor_nine_population_clotting_extended_sample_processing_frozen,factor_nine_population_clotting_extended,,radio,Was the sample frozen immediately and stored at -20 C for at most 2 weeks?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX911002,,,,,[factor_nine_population_clotting_extended_sample_processing_storage_whole_blood] = 'UNDEFINED_CODE' or [factor_nine_population_clotting_extended_sample_processing_storage_plasma] = 'UNDEFINED_CODE',,,,,
factor_nine_population_clotting_extended_sample_processing_deep_freeze,factor_nine_population_clotting_extended,,radio,"Was the sample transferred to < = -70 C, including shipment?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX911002,,,,,[factor_nine_population_clotting_extended_sample_processing_storage_whole_blood] = 'UNDEFINED_CODE' or [factor_nine_population_clotting_extended_sample_processing_storage_plasma] = 'UNDEFINED_CODE',,,,,
factor_nine_population_clotting_extended_one_stage_clotting_factor_assay_changes,factor_nine_population_clotting_extended,,radio,Were any changes made in the protocol over the course of the study?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX911002,,,,,,,,,,
factor_nine_population_clotting_extended_one_stage_clotting_factor_assay_record,factor_nine_population_clotting_extended,,radio,"Were the make and manufacturer of equipment, repeatability and coefficients of variation for the assay, and the reagents used recorded?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX911002,,,,,,,,,,
factor_nine_population_clotting_extended_pharmacokinetic_study,factor_nine_population_clotting_extended,,radio,"Were the parameters outlined by the International Society on Thrombosis and Haemostatis Subcommittee on Factor VIII, Factor IX and Rare Coagulation Disorders (Iorio et al., 2917) followed?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX911002,,,,,,,,,,
factor_nine_population_clotting_extended_pharmacokinetic_study_after_infusion_hours_24,factor_nine_population_clotting_extended,,radio,Was a measurement taken 24-36 hours after infusion with a routine dose of the extended half-life product?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX911002,,,,,,,,,,
factor_nine_population_clotting_extended_pharmacokinetic_study_after_infusion_hours_48,factor_nine_population_clotting_extended,,radio,Was a measurement taken 48-60 hours after infusion with a routine dose of the extended half-life product?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX911002,,,,,,,,,,
factor_nine_population_clotting_extended_pharmacokinetic_study_after_infusion_days,factor_nine_population_clotting_extended,,radio,Was a measurement taken 5-14 days after infusion with a routine dose of the extended half-life product?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX911002,,,,,,,,,,
factor_nine_population_clotting_extended_pharmacokinetic_model,factor_nine_population_clotting_extended,,radio,"Was a ""robust"" population pharmacokinetics model, such as WAPPS-Hemo or PKFit, used?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX911002,,,,,,,,,,
