NAME,CONCEPT_NAME,CONDR_IDSEQ
C19936,"ALTERNATIVE MEDICINE, DIRECT",8E06DFCA-033D-3663-E040-BB89AD4323BD
C129348,ALWAYS OR ALMOST ALWAYS,3E9E3F56-0703-4FE4-E053-F662850A599D
C32098,ANTERIOR MEDIASTINUM,07472A5E-FE4B-B276-E050-BB89AD431BF5
C118796,ANTI-CD3 ANTIBODY,083D4EDE-68B5-1159-E050-BB89AD4331B5
C17675,ANTIGEN KI-67,F37D0428-B606-6787-E034-0003BA3F9857
C94631,ANTIRETROVIRAL THERAPY,05736430-43F2-C7C3-E050-BB89AD434E79
C16236,ANTISENSE THERAPY,186872B3-019B-23F5-E044-0003BA3F9857
C78597,APL DIFFERENTIATION SYNDROME,74419E3D-8A4D-7FAC-E040-BB89AD434C1B
C43374,APOCRINE CELL,6815D539-E835-D84D-E040-BB89AD43176C
C64774,AREA UNDER CURVE,40A67477-8B02-45C1-E044-0003BA3F9857
C50464,ARTHRALGIA,15926B17-D2B3-2422-E044-0003BA3F9857
C121126,AS EXPECTED,1212163D-1987-C496-E050-BB89AD436E75
C64499,AS NECESSARY,4B8E281C-F76A-621A-E044-0003BA3F9857
C41260,ASIAN,FE0FD98C-B593-595D-E034-0003BA3F9857
C286,ASPARAGINASE,B8DF6309-A0D4-1E33-E040-BB89AD43040B
C77180,ASPERGILLUS,5C109FA8-1D73-5A8A-E044-0003BA3F9857
C28245,ASPIRATION ADVERSE EVENT,F37D0428-E696-6787-E034-0003BA3F9857
C287,ASPIRIN,F37D0428-B6D2-6787-E034-0003BA3F9857
C60781,ASTROCYTOMA,628169CF-839E-F4D3-E040-BB89AD433D78
C50466,ATRIAL FIBRILLATION,18791C00-9F18-4E01-E044-0003BA3F9857
C3519,"ATYPICAL CHRONIC MYELOID LEUKEMIA, BCR-ABL1 NEGATIVE",F37D0428-DBBA-6787-E034-0003BA3F9857
C38036,AUDIOMETRIC TEST,3CD92395-4761-4FA8-E044-0003BA3F9857
C85866,AUTOSOMAL RECESSIVE DISORDER,7FBE7AAE-64A7-1C10-E040-BB89AD43016D
C62017,AV BLOCK SECOND DEGREE MOBITZ TYPE I,7458E815-9437-DD76-E040-BB89AD43104A
C62018,AV BLOCK SECOND DEGREE MOBITZ TYPE II,7458E815-9480-DD76-E040-BB89AD43104A
C12904,AXILLARY LYMPH NODE,F37D0428-B5DE-6787-E034-0003BA3F9857
C28844,AZITHROMYCIN,0C625C4B-2C4C-27E6-E044-0003BA3F9857
C8644,B ACUTE LYMPHOBLASTIC LEUKEMIA,27F3CBD2-04DC-469E-E044-0003BA3F9857
C38896,B-LYMPHOCYTE ANTIGEN CD20,51856E82-CA60-2640-E044-0003BA3F9857
C73261,BENDAMUSTINE,916763D9-5D2F-609F-E040-BB89AD437013
C16333,BENIN,12D3F61A-E51F-1D6A-E044-0003BA3F9857
C16342,BIOMARKER,F37D0428-B5BA-6787-E034-0003BA3F9857
C16352,BLACK OR AFRICAN AMERICAN,FE0FD98C-B58E-595D-E034-0003BA3F9857
C61213,BLADDER CANCER PT3 TNM FINDING V6 AND V7,B7474902-F1D7-3AC9-E040-BB89AD434205
C9110,"BLAST PHASE CHRONIC MYELOGENOUS LEUKEMIA, BCR-ABL1 POSITIVE",38DBE882-E436-674F-E044-0003BA3F9857
C7203,BLASTIC PLASMACYTOID DENDRITIC CELL NEOPLASM,F37D0428-DBDA-6787-E034-0003BA3F9857
C12679,BLOOD VESSEL,F37D0428-B9AE-6787-E034-0003BA3F9857
C13041,BODY,F37D0428-BBA6-6787-E034-0003BA3F9857
C16359,"BOLIVIA, PLURINATIONAL STATE OF",F37D0428-E11A-6787-E034-0003BA3F9857
C12431,BONE MARROW,F37D0428-BB9E-6787-E034-0003BA3F9857
C15644,BONE MARROW ASPIRATION,3C66B052-4132-0F1C-E044-0003BA3F9857
C15193,BONE MARROW BIOPSY,F37D0428-DF0E-6787-E034-0003BA3F9857
C15194,BONE MARROW TRANSPLANTATION,F37D0428-BBAA-6787-E034-0003BA3F9857
C61545,BONE MINERAL DENSITY TEST,18EEC803-912D-04BF-E044-0003BA3F9857
C14157,BORDERLINE,20417B69-9479-1F41-E044-0003BA3F9857
C7983,BORDERLINE OVARIAN ENDOMETRIOID TUMOR,A67BAD06-70D4-ACFF-E040-BB89AD437FAC
C4783,BORDERLINE OVARIAN EPITHELIAL TUMOR,0F8C8F0D-8A65-02A0-E050-BB89AD430E17
C7281,BORDERLINE OVARIAN MIXED EPITHELIAL TUMOR,A67BAD06-6FD9-ACFF-E040-BB89AD437FAC
C40036,BORDERLINE OVARIAN MUCINOUS TUMOR,A67BAD06-6FB3-ACFF-E040-BB89AD437FAC
C40027,BORDERLINE OVARIAN SEROUS TUMOR WITH MICROINVASION,A67BAD06-6FFF-ACFF-E040-BB89AD437FAC
C49636,BOTH,10B36BC0-C2C4-695F-E044-0003BA3F9857
C19635,BRCA1 GENE MUTATION,AE9028DE-586E-8BC2-E040-BB89AD4348AC
C19636,BRCA2 GENE MUTATION,AE9028DE-5894-8BC2-E040-BB89AD4348AC
C40360,BREAST ADENOCARCINOMA WITH SPINDLE CELL METAPLASIA,06CB4BCA-3156-23F2-E044-0003BA3F9857
C3484,BREAST ADENOSIS,A6CA5E9E-1D11-D7DA-E040-BB89AD432E47
C73347,BREAST CANCER CN0 TNM FINDING V6 AND V7,BB9ECD53-143D-8642-E040-BB89AD43080C
C73350,BREAST CANCER CN2A TNM FINDING V6 AND V7,BB9ECD53-13CB-8642-E040-BB89AD43080C
C88369,BREAST CANCER CN2B TNM FINDING V7,BB9ECD53-13A5-8642-E040-BB89AD43080C
C73353,BREAST CANCER CN3A TNM FINDING V6 AND V7,BB9ECD53-1359-8642-E040-BB89AD43080C
C73354,BREAST CANCER CN3B TNM FINDING V6 AND V7,BB9ECD53-1333-8642-E040-BB89AD43080C
C73346,BREAST CANCER CNX TNM FINDING V6 AND V7,BB9ECD53-1463-8642-E040-BB89AD43080C
C48998,BREAST CANCER PN1A TNM FINDING V6 AND V7,6FCB3DDF-8375-F24C-E040-BB89AD432006
C48999,BREAST CANCER PN1B TNM FINDING V6,6FCB3DDF-834F-F24C-E040-BB89AD432006
C49000,BREAST CANCER PN1C TNM FINDING V6,6FCB3DDF-8329-F24C-E040-BB89AD432006
C88353,BREAST CANCER PN1MI TNM FINDING V7,D4117659-9E59-8B68-E040-BB89AD435F51
C49007,BREAST CANCER PN3C TNM FINDING V6 AND V7,6FCB1360-FDBE-8A77-E040-BB89AD431272
C4872,BREAST CARCINOMA,11C95199-1599-5C1E-E044-0003BA3F9857
C15280,BREAST CONSERVATION TREATMENT,3A7E6D27-EC45-2903-E044-0003BA3F9857
C3744,BREAST FIBROADENOMA,F37D0428-E4AA-6787-E034-0003BA3F9857
C84603,BUNDLE BRANCH BLOCK BY ECG FINDING,9F52E161-B4F2-C614-E040-BB89AD4377D5
C7400,BURKITT LEUKEMIA,27F6CF08-5950-36DF-E044-0003BA3F9857
C121737,CAN DO WITH A LITTLE DIFFICULTY,1546B3B7-644A-CDEB-E050-BB89AD434043
C121740,CAN DO WITH MUCH DIFFICULTY,1546B3B7-6494-CDEB-E050-BB89AD434043
C121739,CAN DO WITH SOME DIFFICULTY,1546B3B7-646F-CDEB-E050-BB89AD434043
C121736,CAN DO WITHOUT ANY DIFFICULTY,1546B3B7-6425-CDEB-E050-BB89AD434043
C77173,CANDIDA KRUSEI,5C109FA8-1E8C-5A8A-E044-0003BA3F9857
C62578,CAPILLARY LEAK SYNDROME,56172F89-7754-66E4-E044-0003BA3F9857
C64696,CAPLET DOSING UNIT,448035F0-BBDB-6C07-E044-0003BA3F9857
C25158,CAPSULE DOSAGE FORM,F37D0428-CE16-6787-E034-0003BA3F9857
C1282,CARBOPLATIN,0303DF01-F41D-15EC-E044-0003BA3F9857
C2916,CARCINOMA,F37D0428-BC06-6787-E034-0003BA3F9857
C2917,CARCINOMA IN SITU,F37D0428-BC12-6787-E034-0003BA3F9857
C34448,CARCINOSARCOMA,F37D0428-E4A6-6787-E034-0003BA3F9857
C12686,CARDIOVASCULAR SYSTEM,F37D0429-4224-6787-E034-0003BA3F9857
C26554,CASP1 GENE,77039323-3A1D-00CF-E040-BB89AD43795B
C42784,CASPASE ACTIVATION,2BA592D6-D048-6ED2-E044-0003BA3F9857
C25372,CATEGORY,D6935A5D-9CE5-4A15-E040-BB89AD435626
C18364,CBL GENE,F4F7B19C-C76D-BB5D-E040-BB89AD4325AD
C118495,CD45RO,222558F6-D19A-9AE6-E050-BB89AD430E73
C104113,CEACAM1 GENE,E387D3D6-6F02-7024-E040-BB89AD433EAF
C17387,CELLULAR TUMOR ANTIGEN P53,36934AAA-BFBD-3C59-E044-0003BA3F9857
C41151,CELSIUS SCALE,F37D0428-B95E-6787-E034-0003BA3F9857
C12438,CENTRAL NERVOUS SYSTEM,F37D0428-B89A-6787-E034-0003BA3F9857
C12300,CENTRAL PORTION OF THE BREAST,06CB4BCA-313A-23F2-E044-0003BA3F9857
C68637,CERTIFICATE,412F97A9-A14A-1B3C-E044-0003BA3F9857
C4029,CERVICAL ADENOCARCINOMA,0F886EE6-BA65-DB60-E050-BB89AD4356E3
C89529,CERVICAL CANCER PT1A2 TNM FINDING V7,9299B94C-420E-BA08-E040-BB89AD430CAF
C89533,CERVICAL CANCER PT1B1 TNM FINDING V7,9299B94C-425A-BA08-E040-BB89AD430CAF
C89534,CERVICAL CANCER PT1B2 TNM FINDING V7,9299B94C-4280-BA08-E040-BB89AD430CAF
C89537,CERVICAL CANCER PT2A1 TNM FINDING V7,9299B94C-42F2-BA08-E040-BB89AD430CAF
C89538,CERVICAL CANCER PT2A2 TNM FINDING V7,9299B94C-4318-BA08-E040-BB89AD430CAF
C4028,"CERVICAL SQUAMOUS CELL CARCINOMA, NOT OTHERWISE SPECIFIED",C47BC307-67FF-000B-E040-BB89AD43320C
C12311,CERVIX UTERI,F37D0428-EE28-6787-E034-0003BA3F9857
C15632,CHEMOTHERAPY,F37D0428-BBFA-6787-E034-0003BA3F9857
C38103,CHEST RADIOGRAPHY,1A0C42CB-346E-090B-E044-0003BA3F9857
LA20738-3,CHILD (1-12 YEARS),2822FF80-9A85-0EAB-E050-BB89AD4370A6
C4436,CHOLANGIOCARCINOMA,96D7AA2D-09AF-EB1F-E040-BB89AD436E93
C61674,CHOLINE,C90A9C35-C4D7-34CE-E040-BB89AD436E30
C4563,"CHRONIC EOSINOPHILIC LEUKEMIA, NOT OTHERWISE SPECIFIED",49BDA45E-ED4D-65D3-E044-0003BA3F9857
C4981,CHRONIC GRAFT VERSUS HOST DISEASE,F37D0428-B69E-6787-E034-0003BA3F9857
C3163,CHRONIC LYMPHOCYTIC LEUKEMIA,F37D0428-BC0E-6787-E034-0003BA3F9857
C3174,"CHRONIC MYELOGENOUS LEUKEMIA, BCR-ABL1 POSITIVE",F37D0428-BC0A-6787-E034-0003BA3F9857
C3199,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,F37D0428-B8E2-6787-E034-0003BA3F9857
C4033,CLEAR CELL RENAL CELL CARCINOMA,21AE5D20-FA3C-1E4D-E044-0003BA3F9857
C129412,CLOSTRIDIUM CLUSTER IV,4301FCFA-72FA-5668-E053-F662850A0382
C9874,CMF REGIMEN,B9065DDB-F5D7-EA21-E040-BB89AD43659B
C106167,COAHUILA,E9E4BB67-8FF3-D876-E040-BB89AD43090E
C72729,COLISTIMETHATE,8496CD40-BEBE-38E5-E040-BB89AD431EE9
C60844,COLORECTAL CANCER PT1 TNM FINDING V6 AND V7,622DC528-033B-C782-E040-BB89AD4370E6
C60845,COLORECTAL CANCER PT2 TNM FINDING V6 AND V7,622DC528-0315-C782-E040-BB89AD4370E6
C16457,COMORBIDITY,27A68410-2F53-1DDF-E044-0003BA3F9857
C70611,COMPLEMENT HEMOLYTIC ACTIVITY ASSAY,3C610493-D4D1-1A80-E044-0003BA3F9857
C15178,COMPLEMENTARY AND ALTERNATIVE MEDICINE,F37D0428-BBE6-6787-E034-0003BA3F9857
C50501,COMPLETE ATRIOVENTRICULAR BLOCK,742DD56B-1420-A7E6-E040-BB89AD43063D
C4870,COMPLETE REMISSION,F37D0428-BC2E-6787-E034-0003BA3F9857
C17204,COMPUTED TOMOGRAPHY,F37D0428-B7BA-6787-E034-0003BA3F9857
C2849,CONGENITAL ABNORMALITY,7E1461A5-7AB0-590A-E040-BB89AD436E02
C61236,CONGENITAL PURE RED CELL APLASIA,28821862-CF49-1939-E044-0003BA3F9857
C48271,CONSENT WITHDRAWN,CD36FBA4-3A58-05B5-E040-BB89AD431ECE
C40207,COPY NUMBER POLYMORPHISM,E4117F95-F325-44B1-E040-BB89AD432ED4
C15680,CORE BIOPSY,F37D0428-B83A-6787-E034-0003BA3F9857
C28944,CREAM DOSAGE FORM,F37D0428-E5D2-6787-E034-0003BA3F9857
C48863,CUTANEOUS MELANOMA PN3 TNM FINDING V6 AND V7,6FCB1360-FCB4-8A77-E040-BB89AD431272
C48845,CUTANEOUS MELANOMA PT2 TNM FINDING V6 AND V7,621FBE50-522C-B33F-E040-BB89AD433DE7
C48846,CUTANEOUS MELANOMA PT2A TNM FINDING V6 AND V7,622D384E-D0FC-A22D-E040-BB89AD4370AF
C48847,CUTANEOUS MELANOMA PT2B TNM FINDING V6 AND V7,622D384E-D0D6-A22D-E040-BB89AD4370AF
C48848,CUTANEOUS MELANOMA PT3 TNM FINDING V6 AND V7,622D384E-D0B0-A22D-E040-BB89AD4370AF
C48849,CUTANEOUS MELANOMA PT3A TNM FINDING V6 AND V7,622D384E-D08A-A22D-E040-BB89AD4370AF
C48850,CUTANEOUS MELANOMA PT3B TNM FINDING V6 AND V7,622D384E-D16F-A22D-E040-BB89AD4370AF
C48851,CUTANEOUS MELANOMA PT4 TNM FINDING V6 AND V7,622D384E-D149-A22D-E040-BB89AD4370AF
C48852,CUTANEOUS MELANOMA PT4A TNM FINDING V6 AND V7,622D384E-D123-A22D-E040-BB89AD4370AF
C48853,CUTANEOUS MELANOMA PT4B TNM FINDING V6 AND V7,622D384E-D1BC-A22D-E040-BB89AD4370AF
C48841,CUTANEOUS MELANOMA PTIS TNM FINDING V6 AND V7,621F52AA-F79C-C9E5-E040-BB89AD43707D
C408,CYTARABINE,443FAAF5-4134-370B-E044-0003BA3F9857
C129886,CYTOKINE EXPRESSION PROFILE,48F89F05-739D-1865-E053-F662850A65DE
C14196,CYTOMEGALOVIRUS,F37D0428-CABE-6787-E034-0003BA3F9857
C82386,DABRAFENIB,9A4E41E5-A33B-57BF-E040-BB89AD4327A8
C25473,DAILY,F37D0428-D066-6787-E034-0003BA3F9857
C48871,DATE DATA TYPE,7AB62440-7698-4783-E040-BB89AD437BC5
C48275,DEATH RELATED TO ADVERSE EVENT,0DDF0D1A-22F6-6548-E044-0003BA3F9857
C9182,DEEP FIBROMATOSIS/DESMOID TUMOR,A6CA5E9E-1C17-D7DA-E040-BB89AD432E47
C53260,DEFINITELY RELATED TO INTERVENTION,90F18618-F96C-4134-E040-BB89AD4326D2
C44277,DEGREE FAHRENHEIT,1346328F-6CD9-1E12-E044-0003BA3F9857
C27260,"DENDRITIC CELL TUMOR, NOT OTHERWISE SPECIFIED",F37D0428-DC22-6787-E034-0003BA3F9857
C38197,DENTAL ROUTE OF ADMINISTRATION,F37D0428-EDC8-6787-E034-0003BA3F9857
C48614,DESMOPLASTIC NEUROTROPIC MELANOMA,06CB4BCA-3127-23F2-E044-0003BA3F9857
C4956,DESMOPLASTIC/NODULAR MEDULLOBLASTOMA,12229D30-D47D-460E-E044-0003BA3F9857
C61702,DESONIDE,A8E4F3E1-0D2D-C4A3-E040-BB89AD436510
C25299,DIASTOLIC BLOOD PRESSURE,F37D0429-4246-6787-E034-0003BA3F9857
C1505,DIETARY SUPPLEMENT,F37D0428-BDF6-6787-E034-0003BA3F9857
C12378,DIGESTIVE SYSTEM,9C907B56-CB7F-5D16-E040-BB89AD435C2A
C29619,DIHYDROTESTOSTERONE,20D039CD-F2F5-5BEA-E044-0003BA3F9857
C50535,DISCOMFORT,728EE47D-6FA5-E9C9-E040-BB89AD431A47
C17747,DISEASE PROGRESSION,F37D0428-BEBE-6787-E034-0003BA3F9857
C50995,DISEASE RESPONSE,0F0AEBD7-9648-60D5-E044-0003BA3F9857
C2992,DISSEMINATED INTRAVASCULAR COAGULATION,F37D0428-BC5A-6787-E034-0003BA3F9857
C106042,DISTANT LYMPH NODE,F446C560-9970-7E7F-E040-BB89AD430D07
C67142,DOES NOT KNOW,32BD33AF-53BE-3D38-E044-0003BA3F9857
C53262,DOMESTIC PARTNERSHIP,0E0474D9-8B7C-0507-E044-0003BA3F9857
C457,DOXYCYCLINE,0D052842-75EC-4FD3-E044-0003BA3F9857
C54149,DRUG COMPANY,38DA3245-8F52-3F73-E044-0003BA3F9857
C48789,DUAL X-RAY ABSORPTIOMETRY,704413DB-0322-4987-E040-BB89AD4306C7
C2924,DUCTAL BREAST CARCINOMA IN SITU,F37D0428-BC32-6787-E034-0003BA3F9857
C66933,"DUCTAL BREAST CARCINOMA IN SITU, SOLID TYPE",A6CA5E9E-152E-D7DA-E040-BB89AD432E47
C8419,DYSPLASTIC CEREBELLAR GANGLIOCYTOMA,121EB3EF-034A-3E15-E044-0003BA3F9857
C37944,EAR PAIN,F37D0428-E002-6787-E034-0003BA3F9857
C105722,ECOG PERFORMANCE STATUS 0,ED3424B1-637B-8FA3-E040-BB89AD4336B3
C105723,ECOG PERFORMANCE STATUS 1,ED3424B1-6381-8FA3-E040-BB89AD4336B3
C105725,ECOG PERFORMANCE STATUS 2,ED333C10-5CE6-CD69-E040-BB89AD43493E
C105726,ECOG PERFORMANCE STATUS 3,ED333C10-5CED-CD69-E040-BB89AD43493E
C105727,ECOG PERFORMANCE STATUS 4,ED3424B1-6388-8FA3-E040-BB89AD4336B3
C29027,EFAVIRENZ,03E16831-BAC4-6D9B-E044-0003BA3F9857
C107154,EGFR NP_005219.2:P.G719X,E0391E43-5749-5A36-E040-BB89AD433003
C98515,EGFR NP_005219.2:P.L858R,FF444164-EC24-3A78-E040-BB89AD433300
C98497,EGFR NP_005219.2:P.L861Q,E0285152-B136-3145-E040-BB89AD436AA6
C98503,EGFR NP_005219.2:P.T790M,FF45AD4A-2D9B-CD11-E040-BB89AD435440
C41064,ENDOCRINE,0E0474D9-84FB-0507-E044-0003BA3F9857
C12705,ENDOCRINE SYSTEM,F37D0428-B7E2-6787-E034-0003BA3F9857
C15445,ENDOCRINE THERAPY,F37D0428-B6BE-6787-E034-0003BA3F9857
C27838,ENDOMETRIAL SEROUS ADENOCARCINOMA,AB335DB5-1D1D-F51E-E040-BB89AD437352
C8973,ENDOMETRIOID STROMAL SARCOMA,F37D0428-DC4A-6787-E034-0003BA3F9857
C16546,ENDOSCOPIC PROCEDURE,F37D0428-DC56-6787-E034-0003BA3F9857
C124145,ENDOTHELIAL PROGENITOR CELL,2CFE2618-A7BE-0397-E050-BB89AD431BF2
C4737,ENTEROPATHY-ASSOCIATED T-CELL LYMPHOMA,F37D0428-DC5A-6787-E034-0003BA3F9857
C71744,ENZALUTAMIDE,BE5F3C92-EDA2-5858-E040-BB89AD4304B3
C3017,EPENDYMOMA,121C564A-F2BA-3046-E044-0003BA3F9857
C98182,EPITROCHLEAR LYMPH NODE,ADA2A8AB-92AD-8579-E040-BB89AD430C42
C20555,ERCC2 GENE,D6CCC1FC-7FE3-CFA5-E040-BB89AD437B85
C2693,ERLOTINIB HYDROCHLORIDE,691B1103-A54A-3ACB-E040-BB89AD433564
C50693,ESOPHAGEAL PERFORATION,7442C02C-702E-7767-E040-BB89AD432C57
C37227,ETV6-RUNX1 FUSION PROTEIN EXPRESSION,198337A5-20FD-5D74-E044-0003BA3F9857
C61284,EVANS SYNDROME,28C01DC7-5515-0959-E044-0003BA3F9857
C64523,EVERY EIGHT HOURS,B404581B-9D12-EC81-E040-BB89AD433FB4
C64518,EVERY FOUR HOURS,B403E655-FF2F-7182-E040-BB89AD434AC8
C64510,EVERY HOUR,D73FBE1C-63E4-D002-E040-BB89AD436B25
C64525,EVERY OTHER DAY,B404581B-9DAB-EC81-E040-BB89AD433FB4
